tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Japanese,135,Brigham Young University,Traci,Tomi,Andreason,2333580,4,good,TEACHER,PROFESSOR,4.8
Social Science,135,Brigham Young University,Carolyn,,Andrews,297584,23,average,TEACHER,PROFESSOR,2.9
Anthropology,135,Brigham Young University,Edwin,,Andrus,264277,175,good,TEACHER,PROFESSOR,3.8
Arabic,135,Brigham Young University,Jason,,Andrus,2558575,2,good,TEACHER,PROFESSOR,4.0
Chemistry,135,Brigham Young University,Merritt,,Andrus,594505,70,good,TEACHER,PROFESSOR,3.5
Music,135,Brigham Young University,Kevin,,Anthony,2273166,1,good,TEACHER,PROFESSOR,5.0
Music,135,Brigham Young University,Jean,,Applonie,561888,75,good,TEACHER,PROFESSOR,4.8
English,135,Brigham Young University,Andrew,,Apsley,1671442,2,good,TEACHER,PROFESSOR,4.5
English,135,Brigham Young University,Elena,,Arana,2634222,1,good,TEACHER,PROFESSOR,5.0
Public Administration,135,Brigham Young University,Chyleen,,Arbon,1026335,2,good,TEACHER,PROFESSOR,5.0
Engineering,135,Brigham Young University,James,,Archibald,219766,23,good,TEACHER,PROFESSOR,3.9
Instructional Technology,135,Brigham Young University,Douglas,Elijah,Archibald,2427615,1,good,TEACHER,PROFESSOR,5.0
Computer Science,135,Brigham Young University,Chris,,Archibald,2588032,10,good,TEACHER,PROFESSOR,4.8
Engineering Technology,135,Brigham Young University,Morris,D,Argyle,1839951,11,good,TEACHER,PROFESSOR,4.7
Business,135,Brigham Young University,Bronson,,Argyle,1971351,1,good,TEACHER,PROFESSOR,5.0
Finance,135,Brigham Young University,Bronson,,Argyle,1957073,18,good,TEACHER,PROFESSOR,4.7
Economics,135,Brigham Young University,Daniel,,Argyle,2655992,3,average,TEACHER,PROFESSOR,2.7
Japanese,135,Brigham Young University,Yoshihiko,,Ariizumi,1962459,7,average,TEACHER,PROFESSOR,3.2
Student Life,135,Brigham Young University,Joshua,Randall,Arment,2504584,5,good,TEACHER,PROFESSOR,5.0
Communication,135,Brigham Young University,Kaylene,,Armstrong,327605,8,poor,TEACHER,PROFESSOR,2.4
Mathematics,135,Brigham Young University,Gerald,,Armstrong,440035,11,good,TEACHER,PROFESSOR,4.2
Physiology,135,Brigham Young University,Juan,A,Arroyo,1804590,75,average,TEACHER,PROFESSOR,3.4
Japanese,135,Brigham Young University,Ronald,,Arthur,204614,69,good,TEACHER,PROFESSOR,3.9
Philosophy,135,Brigham Young University,Michael,,Arts,278577,77,average,TEACHER,PROFESSOR,3.0
Education,135,Brigham Young University,Diane,,Asay,1427480,1,poor,TEACHER,PROFESSOR,1.5
Geography,135,Brigham Young University,Sosina,,Asfaw,2248228,2,poor,TEACHER,PROFESSOR,1.5
Health Science,135,Brigham Young University,Rachel,,Ashby,2470457,4,good,TEACHER,PROFESSOR,4.8
English,135,Brigham Young University,Steven,,Ashton,1644940,3,average,TEACHER,PROFESSOR,3.2
Theatre & Media Arts,135,Brigham Young University,Julia,,Ashworth,1888397,3,good,TEACHER,PROFESSOR,3.7
English,135,Brigham Young University,Lara,,Asplund,504906,14,average,TEACHER,PROFESSOR,3.2
Chemistry,135,Brigham Young University,Matthew,,Asplund,528016,75,average,TEACHER,PROFESSOR,3.3
Music,135,Brigham Young University,Christian,,Asplund,645071,17,good,TEACHER,PROFESSOR,3.7
Theatre & Media Arts,135,Brigham Young University,Julia,,Ashworth,1888397,3,good,TEACHER,PROFESSOR,3.7
English,135,Brigham Young University,Lara,,Asplund,504906,14,average,TEACHER,PROFESSOR,3.2
Chemistry,135,Brigham Young University,Matthew,,Asplund,528016,75,average,TEACHER,PROFESSOR,3.3
Music,135,Brigham Young University,Christian,,Asplund,645071,17,good,TEACHER,PROFESSOR,3.7
Portuguese,135,Brigham Young University,Kristen,,Aten,1201192,3,good,TEACHER,PROFESSOR,4.7
Health & Physical Education,135,Brigham Young University,Tyler,,Aughenbaugh,2726850,3,good,TEACHER,PROFESSOR,5.0
Law,135,Brigham Young University,Kif,,Augustine-Adams,13832,14,good,TEACHER,PROFESSOR,4.2
History,135,Brigham Young University,Karen,Elaine,Auman,1934373,9,good,TEACHER,PROFESSOR,3.5
Dance,135,Brigham Young University,Edwin,,Austin,753727,18,average,TEACHER,PROFESSOR,3.2
Dance,135,Brigham Young University,Vicki,,Austin,753729,16,good,TEACHER,PROFESSOR,3.7
Latin,135,Brigham Young University,Christian,,Axelgard,1652665,7,good,TEACHER,PROFESSOR,4.6
Political Science,135,Brigham Young University,Frederick,,Axelgard,2576151,1,good,TEACHER,PROFESSOR,5.0
Writing,135,Brigham Young University,Hannah,,Azar,2466834,6,good,TEACHER,PROFESSOR,4.0
Music,135,Brigham Young University,Darrell,,Babidge,1306749,8,good,TEACHER,PROFESSOR,3.9
Writing,135,Brigham Young University,Cherise,,Bacalski,1560574,18,good,TEACHER,PROFESSOR,4.9
Italian,135,Brigham Young University,Brad,,Bacigalupi,898594,11,good,TEACHER,PROFESSOR,3.8
German,135,Brigham Young University,Maria,Isabelle,Bacon,2723939,1,good,TEACHER,PROFESSOR,4.0
Exercise & Sport Science,135,Brigham Young University,Bruce,,Bailey,1214885,33,average,TEACHER,PROFESSOR,2.8
Business,135,Brigham Young University,Sean,M.,Bair,2635840,21,good,TEACHER,PROFESSOR,4.9
Russian,135,Brigham Young University,Viktoria,,Baird,1144773,14,good,TEACHER,PROFESSOR,3.6
Organizational Ldrshp  Strat,135,Brigham Young University,Scott,,Baird,1932327,12,poor,TEACHER,PROFESSOR,2.2
Mathematics,135,Brigham Young University,Roger,,Baker,426017,20,average,TEACHER,PROFESSOR,2.7
Business,135,Brigham Young University,William,,Baker,566960,14,good,TEACHER,PROFESSOR,4.6
Communication,135,Brigham Young University,Sherry,,Baker,648172,11,good,TEACHER,PROFESSOR,4.1
English,135,Brigham Young University,Marianne,,Baker,1411289,1,good,TEACHER,PROFESSOR,5.0
Philosophy,135,Brigham Young University,Jacob,,Baker,1663637,5,good,TEACHER,PROFESSOR,4.3
Student Life,135,Brigham Young University,Macy,,Baker,2099262,43,good,TEACHER,PROFESSOR,4.8
English Language amp Literature,135,Brigham Young University,Matt,,Baker,2331674,3,good,TEACHER,PROFESSOR,4.7
Visual Arts,135,Brigham Young University,Ashley,,Baker,2123167,8,good,TEACHER,PROFESSOR,4.2
English,135,Brigham Young University,Wendy,,Baker-Smemoe,24948,27,good,TEACHER,PROFESSOR,4.6
Mathematics,135,Brigham Young University,Lennard,,Bakker,397823,53,good,TEACHER,PROFESSOR,4.0
Psychology,135,Brigham Young University,Scott,,Baldwin,1114163,13,good,TEACHER,PROFESSOR,4.9
Classical Studies,135,Brigham Young University,Ryan,,Baldwin,2409748,2,good,TEACHER,PROFESSOR,5.0
Theatre & Media Arts,135,Brigham Young University,Kenneth,,Baldwin,2532528,1,good,TEACHER,PROFESSOR,5.0
Religion,135,Brigham Young University,Terry,,Ball,322470,50,good,TEACHER,PROFESSOR,4.7
Information Systems,135,Brigham Young University,Nick,,Ball,827074,34,good,TEACHER,PROFESSOR,4.3
Statistics,135,Brigham Young University,Erika,,Ball,1896870,5,good,TEACHER,PROFESSOR,4.8
Sign Language,135,Brigham Young University,Michael,,Ballard,1887004,2,good,TEACHER,PROFESSOR,5.0
French & Italian,135,Brigham Young University,Kristen,,Ballieu,1859677,1,good,TEACHER,PROFESSOR,4.5
English,135,Brigham Young University,Lincoln,,Ballif,2636773,13,good,TEACHER,PROFESSOR,4.3
Civil Engineering,135,Brigham Young University,Richard,,Balling,831644,13,average,TEACHER,PROFESSOR,3.0
Art,135,Brigham Young University,Andrew,,Ballstaedt,1754256,129,good,TEACHER,PROFESSOR,4.2
English,135,Brigham Young University,Jon,,Balzotti,2220549,6,good,TEACHER,PROFESSOR,4.2
Family Life,135,Brigham Young University,Alyssa,,Banford Witting,2434960,5,good,TEACHER,PROFESSOR,4.2
Electrical Engineering,135,Brigham Young University,Neal,,Bangerter,1217360,15,good,TEACHER,PROFESSOR,4.9
Student Life,135,Brigham Young University,Spencer,Ray,Bankhead,2331904,2,good,TEACHER,PROFESSOR,4.5
Writing,135,Brigham Young University,Amy,,Banks,2683685,3,average,TEACHER,PROFESSOR,3.3
Elementary Education,135,Brigham Young University,Katherine,,Banner,2474896,2,good,TEACHER,PROFESSOR,4.0
Spanish,135,Brigham Young University,Ivan,,Banov,1670097,9,good,TEACHER,PROFESSOR,4.0
Spanish & Portuguese,135,Brigham Young University,Ruth,,Baptista,2586086,1,good,TEACHER,PROFESSOR,5.0
Theater,135,Brigham Young University,Brad,,Barber,1210852,4,average,TEACHER,PROFESSOR,3.4
Political Science,135,Brigham Young University,Michael,,Barber,1993543,18,good,TEACHER,PROFESSOR,4.3
Portuguese,135,Brigham Young University,Marcos,,Barboza,2688829,2,good,TEACHER,PROFESSOR,5.0
Computer Science,135,Brigham Young University,Cory,,Barker,50662,114,good,TEACHER,PROFESSOR,4.3
Mathematics,135,Brigham Young University,Blake,,Barker,2246852,11,good,TEACHER,PROFESSOR,3.5
Visual Arts,135,Brigham Young University,Chad West,,Barksdale,1051101,23,average,TEACHER,PROFESSOR,3.0
Psychology,135,Brigham Young University,Sally,,Barlow,1307434,11,poor,TEACHER,PROFESSOR,1.9
Health Science,135,Brigham Young University,Michael,,Barnes,1562878,6,good,TEACHER,PROFESSOR,4.6
Family Life,135,Brigham Young University,Lauren,,Barnes,1942324,129,good,TEACHER,PROFESSOR,4.4
Recreation,135,Brigham Young University,Keith,,Barney,740357,8,good,TEACHER,PROFESSOR,4.6
Statistics,135,Brigham Young University,Bradley,,Barney,2185904,4,average,TEACHER,PROFESSOR,3.0
Physical Education,135,Brigham Young University,David,,Barney,2097300,9,good,TEACHER,PROFESSOR,4.5
Japanese,135,Brigham Young University,Keiko,,Barney,2132107,14,good,TEACHER,PROFESSOR,3.5
Art,135,Brigham Young University,Daniel,T,Barney,1931780,19,good,TEACHER,PROFESSOR,3.8
Spanish,135,Brigham Young University,John,E,Baron,2008292,3,poor,TEACHER,PROFESSOR,1.8
Computer Science,135,Brigham Young University,Bill,,Barrett,258543,6,good,TEACHER,PROFESSOR,4.0
Mathematics,135,Brigham Young University,Wayne,,Barrett,425822,25,good,TEACHER,PROFESSOR,4.4
Visual Arts,135,Brigham Young University,Brenda,,Barrett,2098466,2,good,TEACHER,PROFESSOR,5.0
Accounting,135,Brigham Young University,John,,Barrick,978950,8,good,TEACHER,PROFESSOR,4.2
Physiology,135,Brigham Young University,Jeff,,Barrow,602946,30,good,TEACHER,PROFESSOR,3.9
Mathematics,135,Brigham Young University,Michael,D,Barrus,1814904,6,good,TEACHER,PROFESSOR,4.7
Fine Arts,135,Brigham Young University,Wulf,,Barsh,497283,7,average,TEACHER,PROFESSOR,3.4
Visual Arts,135,Brigham Young University,Brent,,Barson,1044758,4,good,TEACHER,PROFESSOR,4.5
Religion,135,Brigham Young University,Ronald,,Bartholomew,494780,87,good,TEACHER,PROFESSOR,4.5
Teaching & Learning,135,Brigham Young University,Scott,R,Bartholomew,2650753,1,good,TEACHER,PROFESSOR,5.0
Statistics,135,Brigham Young University,Keturah,,Bartlett,2204030,8,good,TEACHER,PROFESSOR,4.9
Anthropology,135,Brigham Young University,Jaime,,Bartlett,823666,86,good,TEACHER,PROFESSOR,3.9
Spanish,135,Brigham Young University,John,E,Baron,2008292,3,poor,TEACHER,PROFESSOR,1.8
Computer Science,135,Brigham Young University,Bill,,Barrett,258543,6,good,TEACHER,PROFESSOR,4.0
Mathematics,135,Brigham Young University,Wayne,,Barrett,425822,25,good,TEACHER,PROFESSOR,4.4
Visual Arts,135,Brigham Young University,Brenda,,Barrett,2098466,2,good,TEACHER,PROFESSOR,5.0
Accounting,135,Brigham Young University,John,,Barrick,978950,8,good,TEACHER,PROFESSOR,4.2
Physiology,135,Brigham Young University,Jeff,,Barrow,602946,30,good,TEACHER,PROFESSOR,3.9
Mathematics,135,Brigham Young University,Michael,D,Barrus,1814904,6,good,TEACHER,PROFESSOR,4.7
Fine Arts,135,Brigham Young University,Wulf,,Barsh,497283,7,average,TEACHER,PROFESSOR,3.4
Visual Arts,135,Brigham Young University,Brent,,Barson,1044758,4,good,TEACHER,PROFESSOR,4.5
Teaching & Learning,135,Brigham Young University,Scott,R,Bartholomew,2650753,1,good,TEACHER,PROFESSOR,5.0
Religion,135,Brigham Young University,Ronald,,Bartholomew,494780,87,good,TEACHER,PROFESSOR,4.5
Statistics,135,Brigham Young University,Keturah,,Bartlett,2204030,8,good,TEACHER,PROFESSOR,4.9
Anthropology,135,Brigham Young University,Jaime,,Bartlett,823666,86,good,TEACHER,PROFESSOR,3.9
Visual Arts,135,Brigham Young University,Garold,,Barton,1047529,4,good,TEACHER,PROFESSOR,4.4
