tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Psychology,136,Brigham Young University - Hawaii,Inoke,,Funaki,959440,8,good,TEACHER,PROFESSOR,4.1
Mathematics,136,Brigham Young University - Hawaii,David,,Furuto,408782,19,good,TEACHER,PROFESSOR,3.7
Mathematics,136,Brigham Young University - Hawaii,Braylee,,Gabel,2645290,1,good,TEACHER,PROFESSOR,5.0
Social Work,136,Brigham Young University - Hawaii,Kenneth,,Galeai,2262648,2,poor,TEACHER,PROFESSOR,1.0
Business,136,Brigham Young University - Hawaii,Gregory,,Gibson,1480970,8,good,TEACHER,PROFESSOR,4.8
Biology,136,Brigham Young University - Hawaii,R. Shane,,Gold,959435,23,good,TEACHER,PROFESSOR,4.7
Business,136,Brigham Young University - Hawaii,Sanoma,,Goodwill,1097870,11,average,TEACHER,PROFESSOR,2.8
Biology,136,Brigham Young University - Hawaii,Roger,,Goodwill,1237359,4,good,TEACHER,PROFESSOR,3.5
Chemistry,136,Brigham Young University - Hawaii,Glen,S,Gray,1919469,1,good,TEACHER,PROFESSOR,5.0
English,136,Brigham Young University - Hawaii,Brother,,Green,341880,1,good,TEACHER,PROFESSOR,4.0
English,136,Brigham Young University - Hawaii,Brent,,Green,2657631,3,good,TEACHER,PROFESSOR,4.3
Chemistry,136,Brigham Young University - Hawaii,Daniel,A,Gubler,1807842,1,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,James,,Hale,2186317,4,good,TEACHER,PROFESSOR,4.0
English,136,Brigham Young University - Hawaii,Sherman,,Han,1798333,8,average,TEACHER,PROFESSOR,3.0
English,136,Brigham Young University - Hawaii,Stephen,,Hancock,959429,16,good,TEACHER,PROFESSOR,3.6
Business,136,Brigham Young University - Hawaii,Helena,,Hannonen,1040354,37,average,TEACHER,PROFESSOR,2.8
Religion,136,Brigham Young University - Hawaii,Elder,,Hardy,1565976,4,good,TEACHER,PROFESSOR,4.5
Religion,136,Brigham Young University - Hawaii,Brian,,Hardy,1586715,1,good,TEACHER,PROFESSOR,4.5
English,136,Brigham Young University - Hawaii,Rebecca,,Haymore,1872286,2,average,TEACHER,PROFESSOR,3.2
Economics,136,Brigham Young University - Hawaii,.,,Haynes,256605,24,poor,TEACHER,PROFESSOR,1.4
Business,136,Brigham Young University - Hawaii,Beth,,Haynes,2038867,5,poor,TEACHER,PROFESSOR,2.2
Chemistry,136,Brigham Young University - Hawaii,Daren,,Heaton,1209097,4,average,TEACHER,PROFESSOR,2.6
History,136,Brigham Young University - Hawaii,Carol,,Helekunihi,1590755,7,good,TEACHER,PROFESSOR,4.0
Mathematics,136,Brigham Young University - Hawaii,Joel,,Helms,1836075,15,good,TEACHER,PROFESSOR,4.6
Religion,136,Brigham Young University - Hawaii,Arvel,,Hemenway,959430,5,good,TEACHER,PROFESSOR,4.9
Music,136,Brigham Young University - Hawaii,Daniel,,Henderson,2458613,2,good,TEACHER,PROFESSOR,5.0
Science,136,Brigham Young University - Hawaii,Katie,Elizabeth,Hiew,2383665,2,good,TEACHER,PROFESSOR,3.5
Social Work,136,Brigham Young University - Hawaii,Andre,,Hippolite,1821963,5,good,TEACHER,PROFESSOR,3.8
English,136,Brigham Young University - Hawaii,Emily,,Ho,2225240,19,good,TEACHER,PROFESSOR,4.2
English,136,Brigham Young University - Hawaii,Christina,,Hoffmann,1737521,2,good,TEACHER,PROFESSOR,4.5
Religion,136,Brigham Young University - Hawaii,Richard,,Holtzapfel,693343,1,good,TEACHER,PROFESSOR,5.0
Education,136,Brigham Young University - Hawaii,Barbara,,Hong,2242463,5,average,TEACHER,PROFESSOR,3.0
Art History,136,Brigham Young University - Hawaii,Caryn,,Houghton,2425077,3,good,TEACHER,PROFESSOR,5.0
Political Science,136,Brigham Young University - Hawaii,Brian,,Houghton,1520034,16,good,TEACHER,PROFESSOR,4.5
Languages,136,Brigham Young University - Hawaii,Alohalani (April),,Housman,2111837,4,good,TEACHER,PROFESSOR,4.5
Fine Arts,136,Brigham Young University - Hawaii,Sariah,,Howard,2466145,1,poor,TEACHER,PROFESSOR,2.0
Business,136,Brigham Young University - Hawaii,Leonard,,Huff,1371539,7,average,TEACHER,PROFESSOR,3.4
Mathematics,136,Brigham Young University - Hawaii,Brian,,Hung,2106919,3,good,TEACHER,PROFESSOR,4.8
Languages,136,Brigham Young University - Hawaii,RosaMaria,,Hurst,2685190,1,average,TEACHER,PROFESSOR,3.0
Mathematics,136,Brigham Young University - Hawaii,Paul,,Hurst,1047571,19,good,TEACHER,PROFESSOR,3.7
Biology,136,Brigham Young University - Hawaii,Kikiana,,Hurwitz,2329572,2,good,TEACHER,PROFESSOR,5.0
Biology,136,Brigham Young University - Hawaii,Kiki,,Hurwitz,1833073,14,good,TEACHER,PROFESSOR,4.4
Mathematics,136,Brigham Young University - Hawaii,Scott,,Hyde,1196750,20,average,TEACHER,PROFESSOR,3.3
Psychology,136,Brigham Young University - Hawaii,Freddie,,Ika,2169414,10,poor,TEACHER,PROFESSOR,1.5
Biology,136,Brigham Young University - Hawaii,Spencer,,Ingley,2288478,12,good,TEACHER,PROFESSOR,4.5
Fine Arts,136,Brigham Young University - Hawaii,Jacob,,Jackson,2443756,3,poor,TEACHER,PROFESSOR,2.3
Languages,136,Brigham Young University - Hawaii,Mark,,James,1043689,7,good,TEACHER,PROFESSOR,4.0
Fine Arts,136,Brigham Young University - Hawaii,Jacob,,Jackson,2443756,4,average,TEACHER,PROFESSOR,2.7
Languages,136,Brigham Young University - Hawaii,Mark,,James,1043689,7,good,TEACHER,PROFESSOR,4.0
Religion,136,Brigham Young University - Hawaii,Kip,,Jenkins,2414762,2,good,TEACHER,PROFESSOR,5.0
Education,136,Brigham Young University - Hawaii,Kurt,,Johnson,2172707,2,good,TEACHER,PROFESSOR,5.0
Mathematics,136,Brigham Young University - Hawaii,Cassandra,,Johnson,584319,12,poor,TEACHER,PROFESSOR,1.8
Political Science,136,Brigham Young University - Hawaii,Jon,,Jonassen,997369,10,good,TEACHER,PROFESSOR,3.7
Science,136,Brigham Young University - Hawaii,Benjamin,R,Jordan,1823332,113,good,TEACHER,PROFESSOR,4.6
Religion,136,Brigham Young University - Hawaii,Brother,,Kaanga,1452768,2,good,TEACHER,PROFESSOR,5.0
Social Work,136,Brigham Young University - Hawaii,Victor,,Kafusi,2039336,4,good,TEACHER,PROFESSOR,4.8
Anthropology,136,Brigham Young University - Hawaii,Tevita,,Kaili,1236083,17,good,TEACHER,PROFESSOR,3.9
Political Science,136,Brigham Young University - Hawaii,Jennifer,,Kajiyama,1859821,8,good,TEACHER,PROFESSOR,4.2
Languages,136,Brigham Young University - Hawaii,Kats,,Kajiyama,1499236,10,good,TEACHER,PROFESSOR,3.6
Science,136,Brigham Young University - Hawaii,Kaleo,,Kaluhiokalani,2504625,2,good,TEACHER,PROFESSOR,5.0
International Studies,136,Brigham Young University - Hawaii,James,,Kester,961379,3,good,TEACHER,PROFESSOR,4.7
Accounting,136,Brigham Young University - Hawaii,Kevin,,Kimball,767017,12,good,TEACHER,PROFESSOR,4.0
Psychology,136,Brigham Young University - Hawaii,Edward,,Kinghorn,1462357,8,good,TEACHER,PROFESSOR,4.4
Psychology,136,Brigham Young University - Hawaii,Brian,,Kinghorn,1870791,7,good,TEACHER,PROFESSOR,3.6
English,136,Brigham Young University - Hawaii,Keolanani,,Kinghorn,1506349,3,average,TEACHER,PROFESSOR,3.1
Psychology,136,Brigham Young University - Hawaii,Natalie,,Kirtley,1795673,2,good,TEACHER,PROFESSOR,4.5
Psychology,136,Brigham Young University - Hawaii,Jess,,Kohlert,2112837,13,good,TEACHER,PROFESSOR,3.7
Physical Ed,136,Brigham Young University - Hawaii,Joke,,Kokkonen,645818,9,good,TEACHER,PROFESSOR,4.3
Religion,136,Brigham Young University - Hawaii,Isileli,,Kongaika,1288631,15,poor,TEACHER,PROFESSOR,2.1
English,136,Brigham Young University - Hawaii,Luana,,Kotobalavu,1755111,4,good,TEACHER,PROFESSOR,3.5
Social Work,136,Brigham Young University - Hawaii,Christian,,Kunz,2262646,6,good,TEACHER,PROFESSOR,4.8
Fine Arts,136,Brigham Young University - Hawaii,Jihae,,Kwon,2629447,1,good,TEACHER,PROFESSOR,5.0
Communication,136,Brigham Young University - Hawaii,Leeann,,Lambert,2265742,1,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Keith,,Lane,1564511,17,good,TEACHER,PROFESSOR,3.7
Religion,136,Brigham Young University - Hawaii,Jennifer,,Lane,767008,20,good,TEACHER,PROFESSOR,3.8
Religion,136,Brigham Young University - Hawaii,Alisi,,Langi,2535706,5,average,TEACHER,PROFESSOR,2.8
Education,136,Brigham Young University - Hawaii,Karen,,Latham,2331429,1,good,TEACHER,PROFESSOR,5.0
Accounting,136,Brigham Young University - Hawaii,William,,Lathen,2552273,9,poor,TEACHER,PROFESSOR,1.9
Information Science,136,Brigham Young University - Hawaii,Jim,,Lee,1273901,5,good,TEACHER,PROFESSOR,3.6
Computer Science,136,Brigham Young University - Hawaii,James,,Lee,1312100,10,good,TEACHER,PROFESSOR,3.7
Languages,136,Brigham Young University - Hawaii,Keri ,,Lee,1993305,1,good,TEACHER,PROFESSOR,3.5
English,136,Brigham Young University - Hawaii,Roberto,Sebastian,Leon,1991236,2,average,TEACHER,PROFESSOR,3.0
English,136,Brigham Young University - Hawaii,Caryn,,Lesuma,1864108,43,good,TEACHER,PROFESSOR,5.0
English,136,Brigham Young University - Hawaii,Ariel,,Lovett,1753824,1,good,TEACHER,PROFESSOR,4.5
