tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Animal Science,1754,Brigham Young University - Idaho,Amy,,Baeza,2070704,12,average,TEACHER,PROFESSOR,3.5
Geology,1754,Brigham Young University - Idaho,Boyd,,Bagget,1591602,3,good,TEACHER,PROFESSOR,4.5
Religion,1754,Brigham Young University - Idaho,Boyd,,Baggett,1205615,64,good,TEACHER,PROFESSOR,4.5
Online Learning,1754,Brigham Young University - Idaho,Tanya,,Bagley,2022489,1,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Tanya,,Bagley,2022489,1,good,TEACHER,PROFESSOR,5.0
Career Development,1754,Brigham Young University - Idaho,Rob,,Bagley,2682943,1,good,TEACHER,PROFESSOR,5.0
Health Science,1754,Brigham Young University - Idaho,Janae,,Bagley,2634572,3,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Cindy,,Bahr,676469,20,poor,TEACHER,PROFESSOR,2.3
Theater,1754,Brigham Young University - Idaho,Amelia,,Bahr,2654061,2,good,TEACHER,PROFESSOR,3.5
Education,1754,Brigham Young University - Idaho,Barbara,,Baiamonte,918371,12,good,TEACHER,PROFESSOR,4.0
Mathematics,1754,Brigham Young University - Idaho,Sean ,,Bailey,1920711,6,average,TEACHER,PROFESSOR,3.4
Biology,1754,Brigham Young University - Idaho,Caleb,,Bailey,1935711,125,good,TEACHER,PROFESSOR,3.7
English,1754,Brigham Young University - Idaho,Jeremy,,Bailey,1697649,42,good,TEACHER,PROFESSOR,4.0
Physics,1754,Brigham Young University - Idaho,Rodney,,Bain,305838,22,average,TEACHER,PROFESSOR,3.1
Library Science,1754,Brigham Young University - Idaho,Marcia,,Bair,767245,6,good,TEACHER,PROFESSOR,4.2
Communication,1754,Brigham Young University - Idaho,Melissa,,Bair,1884280,6,good,TEACHER,PROFESSOR,3.5
Business,1754,Brigham Young University - Idaho,Bryan,,Bair,2447613,3,good,TEACHER,PROFESSOR,5.0
Psychology,1754,Brigham Young University - Idaho,Michael,,Bair,2479975,6,average,TEACHER,PROFESSOR,3.3
Communication,1754,Brigham Young University - Idaho,Adam,,Bair,856236,43,good,TEACHER,PROFESSOR,3.8
Business,1754,Brigham Young University - Idaho,Jean,,Baird,307895,37,average,TEACHER,PROFESSOR,2.7
Mechanical Engineering,1754,Brigham Young University - Idaho,Adrian,,Baird,1197226,13,good,TEACHER,PROFESSOR,4.2
English,1754,Brigham Young University - Idaho,Sarah,,Baird,1677933,5,good,TEACHER,PROFESSOR,4.4
Biology,1754,Brigham Young University - Idaho,Gary,,Baird,453606,255,average,TEACHER,PROFESSOR,3.3
Health Science,1754,Brigham Young University - Idaho,Heidi,,Baird,2754201,2,good,TEACHER,PROFESSOR,4.5
